id,clip,start,category
1,2017-06-27-143652394670,00:08:25,Aggressive
2,2017-07-11-143529518329,00:23:40,Aggressive
3,2017-06-29-105524492596,00:14:30,Excited
4,2017-07-11-143529518329,00:01:30,Excited
5,2017-07-06-093740908665,00:13:30,Not Playing on Table
6,2017-07-14-103610065352,00:19:30,Not Playing on Table
7,2017-07-11-135134002524,00:04:30,Cooperative
8,2017-07-10-142415953974,00:04:00,Cooperative
9,2017-07-07-113218785067,00:25:00,Dominance
10,2017-07-10-104707663131,00:15:30,Dominance
11,2017-07-10-142415953974,00:02:00,cooperative
12,2017-07-10-104707663131,00:07:30,cooperative
13,2017-07-10-104707663131,00:14:00,power play (conversation)
14,2017-07-10-104707663131,00:18:00,1 not playing on table
15,2017-07-10-104707663131,00:28:00,power play
16,2017-07-07-113218785067,00:01:25,cooperative
17,2017-07-07-113218785067,00:20:00,cooperative
18,2017-07-07-113218785067,00:06:00,power play
19,2017-07-07-113218785067,00:07:00,excited
20,2017-07-07-113218785067,00:16:30,power play
21,2017-07-07-113218785067,00:15:40,power play
22,2017-07-07-094957490615,00:03:35,power play
23,2017-07-06-110834943320,00:07:30,cooperative?
24,2017-07-06-093740908665,00:04:00,power play
25,2017-07-06-093740908665,00:04:35,excited
